¾ç·Â(ÀÏ),À½·Â,ÀÏÃâ¸ô,,,¿ùÃâ¸ô,,,½Ã¹Î¹Ú¸í,,Ç×ÇØ¹Ú¸í,,Ãµ¹®¹Ú¸í,
,,Ãâ,³²Áß,¸ô,Ãâ,³²Áß,¸ô,Ãâ,¸ô,Ãâ,¸ô,Ãâ,¸ô
20220501,04-01,05:39,12:28:49,19:19,05:49,12:43,19:46,05:12,19:46,04:39,20:20,04:04,20:55
20220502,04-02,05:38,12:28:42,19:20,06:19,13:29,20:48,05:11,19:47,04:38,20:21,04:02,20:56
20220503,04-03,05:37,12:28:36,19:21,06:53,14:17,21:48,05:10,19:48,04:36,20:22,04:01,20:57
20220504,04-04,05:36,12:28:30,19:21,07:31,15:06,22:45,05:08,19:49,04:35,20:23,03:59,20:58
20220505,04-05,05:35,12:28:25,19:22,08:15,15:56,23:39,05:07,19:50,04:34,20:24,03:58,21:00
20220506,04-06,05:34,12:28:20,19:23,09:05,16:47,--:--,05:06,19:51,04:33,20:25,03:57,21:01
20220507,04-07,05:33,12:28:16,19:24,10:00,17:37,00:27,05:05,19:52,04:31,20:26,03:55,21:02
20220508,04-08,05:32,12:28:12,19:25,10:58,18:26,01:10,05:04,19:53,04:30,20:27,03:54,21:03
20220509,04-09,05:31,12:28:09,19:26,11:59,19:13,01:47,05:03,19:54,04:29,20:28,03:53,21:05
20220510,04-10,05:30,12:28:07,19:26,13:00,19:59,02:19,05:02,19:55,04:28,20:29,03:51,21:06
20220511,04-11,05:29,12:28:05,19:27,14:03,20:44,02:48,05:01,19:56,04:27,20:30,03:50,21:07
20220512,04-12,05:28,12:28:03,19:28,15:06,21:29,03:15,05:00,19:57,04:26,20:31,03:49,21:08
20220513,04-13,05:28,12:28:02,19:29,16:12,22:16,03:42,04:59,19:57,04:25,20:32,03:47,21:09
20220514,04-14,05:27,12:28:02,19:30,17:21,23:05,04:10,04:58,19:58,04:24,20:33,03:46,21:11
20220515,04-15,05:26,12:28:02,19:31,18:33,23:58,04:40,04:57,19:59,04:23,20:34,03:45,21:12
20220516,04-16,05:25,12:28:03,19:31,19:48,--:--,05:15,04:56,20:00,04:22,20:35,03:44,21:13
20220517,04-17,05:24,12:28:04,19:32,21:05,00:55,05:56,04:56,20:01,04:21,20:36,03:43,21:14
20220518,04-18,05:24,12:28:06,19:33,22:18,01:58,06:47,04:55,20:02,04:20,20:37,03:42,21:15
20220519,04-19,05:23,12:28:09,19:34,23:23,03:03,07:47,04:54,20:03,04:19,20:38,03:40,21:17
20220520,04-20,05:22,12:28:12,19:35,--:--,04:08,08:55,04:53,20:04,04:18,20:39,03:39,21:18
20220521,04-21,05:22,12:28:15,19:35,00:18,05:10,10:07,04:53,20:04,04:17,20:40,03:38,21:19
20220522,04-22,05:21,12:28:19,19:36,01:02,06:07,11:19,04:52,20:05,04:16,20:41,03:37,21:20
20220523,04-23,05:20,12:28:24,19:37,01:38,06:59,12:28,04:51,20:06,04:15,20:42,03:36,21:21
20220524,04-24,05:20,12:28:29,19:38,02:09,07:47,13:33,04:50,20:07,04:15,20:43,03:35,21:22
20220525,04-25,05:19,12:28:35,19:38,02:36,08:32,14:36,04:50,20:08,04:14,20:44,03:34,21:23
20220526,04-26,05:19,12:28:41,19:39,03:02,09:15,15:37,04:49,20:09,04:13,20:45,03:34,21:24
20220527,04-27,05:18,12:28:48,19:40,03:27,09:58,16:38,04:49,20:09,04:12,20:46,03:33,21:26
20220528,04-28,05:18,12:28:55,19:41,03:53,10:41,17:38,04:48,20:10,04:12,20:47,03:32,21:27
20220529,04-29,05:17,12:29:03,19:41,04:21,11:26,18:39,04:48,20:11,04:11,20:47,03:31,21:28
20220530,05-01,05:17,12:29:11,19:42,04:53,12:12,19:39,04:47,20:12,04:11,20:48,03:30,21:29
20220531,05-02,05:16,12:29:20,19:43,05:29,13:01,20:38,04:47,20:12,04:10,20:49,03:30,21:30
